bizID;bizCat;bizCatSub;bizName;bizAddr;bizCity;bizState;bizZip;bizPhone;bizEmail;bizURL;locLat;locLong;locCounty
301;;;Goodwill Des Plaines;1521 Lee St;Des Plaines;IL;60018;;;;42.02491;-87.891427;Cook
302;;;Savers;780 W Dundee Rd;Arlington Heights;IL;60004;;;;42.13845;-88.06178;Cook
303;;;Goodwill;1201 W Washington Blvd;Chicago;IL;60607;;;;41.8828;-87.657;Cook
304;;;Salvation Army;509 N Union;Chicago;IL;60654;;;;46.288;-96.07821;Cook
305;;;Goodwill;300 North LaSalle, 4925;Chicago;IL;60654;;;;41.8883;-87.63327;Cook
306;;;Goodwill;1420 IL-59, Bartlett;;IL;60103;;;;41.9542;-88.2062;Cook
307;;;Savers;1231 N Gary Ave;Carol Stream;IL;60188;;;;41.9354;-88.117709;Dupage
308;;;Goodwill Elgin;260 Randall Rd;Elgin;IL;60123;;;;41.989998;-88.3434799;Kane
309;;;Goodwill;7777 Miller Rd;Carpentersville;IL;60110;;;;41.121406;-88.3390395;Kane
310;;;Sparrow’s Nest;357 Townline Rd;Mundelein;IL;60060;;;;42.24043;-87.995779;Lake
311;;;Goodwill Algonquin;1430 E Algonquin Rd;Algonquin;IL;60102;;;;42.16015;-88.27397;McHenry
312;;;Savers;230 W Virginia St;Crystal Lake;IL;60014;;;;42.2292;-88.32848;McHenry
313;;;Sparrow’s Nest;781 S Randall Rd;Algonquin;IL;60102;;;;42.16121;-88.335488;McHenry
314;;;Sparrows Nest;3714 W Elm St;McHenry;IL;60050;;;;42.34574;-88.27088;McHenry
315;;;Sparrows Nest;N, 380 Northwest Hwy;Cary;IL;60013;;;;42.2151499;-88.2502919;McHenry
316;;;Goodwill;11900 Kreutzer Rd;Huntley;IL;60142;;;;42.1542828;-88.4283258;McHenry
19;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Abe's & Hanks Pawn Shop;2134 Lee Street;Alexandria;LA;71301;(318)448-3801;;;31.2655;-92.4705;Rapides
18;Thrift Shops;Clothing & Accessories Consignment & Resale;El Vaquero Western Wear;4315 Kenilworth Avenue;Bladensburg;MD;20710;(301)277-5096;;;38.9421;-76.9259;Prince Georges
12;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Midway Machinery Inc;1125 Covell Avenue Northwest;Grand Rapids;MI;49504;(616)791-4880;;;42.9816;-85.7081;Kent
23;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;BD Electrical Inc;1684 Hydralic Drive;Howell;MI;48855;(734)449-0602;;;42.6752;-83.8893;Livingston
36;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Goodwill Stores;6772 North Lafayette Street;Greenville;MI;48838;(616)754-0277;;;43.1872;-85.2594;Montcalm
17;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Fast Cash;3403 West Lake Road;Pequot Lakes;MN;56472;(218)568-6969;;;46.6832;-94.2515;Crow Wing
24;Thrift Shops;Used Furniture Dealers;Fiesta's Office Furniture;3901 North Kingshighway Boulevard;Saint Louis;MO;63115;(314)385-7037;;www.fiestacorp.com;38.6786;-90.2397;Saint Louis City
3;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Greens Second Hand Store;107 East Anaconda Street;Wolf Point;MT;59201;(406)653-1616;;;48.3098;-105.5886;Roosevelt
15;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Brother Al's Thrift Store;255 Market Street;Sanford;NC;27330;(919)776-1037;;;35.4930;-79.1765;Lee
1;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Goodwill Industries;1821 USHighway 421;Wilkesboro;NC;28697;(336)838-5442;;;36.1256;-81.1459;Wilkes
34;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Casa Mesita Thrift Shop;1505 15th Street;Los Alamos;NM;87544;(505)662-7235;;;35.8375;-106.3490;Los Alamos
37;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Classy Seconds Thrift Shop;411 Hot Springs Road;Carson City;NV;89706;(775)841-7081;;;39.1830;-119.6053;Carson City
32;Thrift Shops;Salvation Army;Salvation Army;2900 Palomino Lane;Las Vegas;NV;89107;(702)870-4430;;www.salvationarmy.org;36.1701;-115.2087;Clark
22;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Flower's Ideal Warehouse;9303 USHighway 70;Durant;OK;74701;(580)920-1035;;;34.0185;-96.3864;Bryan
2;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Once & Again Consignment Boutique;Parker & Macdde Boulevard;Holmes;PA;19043;(610)237-7178;;;39.9003;-75.3086;Delaware
27;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;A Smart Choice Title Loans;701 North Anderson Road;Rock Hill;SC;29730;(803)980-5044;;www.smartchoicetitleloans.com;34.8891;-81.0214;York
29;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Jellico Fast Cash;1552 5th Street;Jellico;TN;37762;(423)784-2714;;;36.5420;-84.1167;Campbell
31;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Fast Cash Check Advance;193 Relco Drive;Manchester;TN;37355;(931)728-2223;;;35.5000;-86.0789;Coffee
14;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Action Pawn;2131 Southwest Military Drive;San Antonio;TX;78224;(210)927-5755;;;29.3141;-98.5387;Bexar
38;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;The Church of Jesus Christ of Latter-Day Saints - Welfare Services Department- Deseret Indust;727 East 9400 South;Sandy;UT;84094;(801)255-8399;;;40.5705;-111.8627;Salt Lake
26;Thrift Shops;Used Clothing Retail;Gallo Willston;6110 Arlington Boulevard;Falls Church;VA;22044;(703)237-4590;;;38.8591;-77.1567;Fairfax
35;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Second Chance Thrift Store;906 South Lynnhaven Road;Virginia Beach;VA;23452;(757)368-9922;;;36.8421;-76.0932;Virginia Beach City
7;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Kids Company & More;2446 Valley Avenue;Winchester;VA;22601;(540)662-4660;;;39.2077;-78.2566;Winchester City
4;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Pawn X-Change - Bellevue;10825 Northeast 2nd;Seattle;WA;98155;(425)455-3562;;pawnxchange.com;47.7583;-122.2958;King
20;Thrift Shops;Used Furniture Dealers;Country Store;205 Northeast Whitman Street;Pullman;WA;99163;(509)334-1300;;;46.7352;-117.1817;Whitman
